id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2021-02-17T07:36:52;payment unleash Jamaican Dollar;1
2;Rest;2021-02-18T02:53:22;Plains;2
3;Quality Plastic plum;2021-02-17T07:13:44;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2021-02-18T03:40:56;Architect SSL;4
5;zero tolerance;2021-02-18T00:37:15;user-facing CSS;5
6;ADP Ouguiya;2021-02-17T20:33:43;Garden;6
7;auxiliary;2021-02-18T04:49:43;functionalities Bedfordshire withdrawal;7
8;Data;2021-02-17T07:47:44;Viaduct hybrid;8
9;mesh;2021-02-18T06:13:23;human-resource Shoes Wooden;9
10;calculate value-added Metal;2021-02-18T04:12:17;Re-engineered withdrawal Ball;10
