id;customer_id;order_items;placed_date;status;code;invoice_id
1;34384;Steel;2021-02-18T01:56:20;CANCELLED;one-to-one e-business;1
2;14185;compress Steel out-of-the-box;2021-02-17T10:38:24;PENDING;Concrete;2
3;26495;THX Marketing Generic Plastic Hat;2021-02-17T07:08:53;CANCELLED;revolutionize harness Kyat;3
4;38213;United States of America;2021-02-18T01:33:13;CANCELLED;IB Industrial Credit Card Account;4
5;7376;Right-sized;2021-02-17T10:18:23;CANCELLED;contingency target;5
6;30578;Home Loan Account;2021-02-17T22:29:58;COMPLETED;Human;6
7;90782;multi-byte Croatian Kuna RAM;2021-02-17T06:38:19;PENDING;value-added Cambridgeshire mission-critical;7
8;94611;collaborative;2021-02-17T16:12:59;COMPLETED;hack green Streamlined;8
9;38113;Walks Micronesia Glen;2021-02-17T20:14:38;COMPLETED;artificial intelligence card incubate;9
10;57024;Brand schemas;2021-02-17T15:37:13;COMPLETED;Gloves quantify Rupiah;10
